标题,链接,服务,dsr,店铺名,价格,付款人数,发货地,好评率,动态评分,店铺类型,店铺等级
恒源祥羊毛被100%纯羊毛羊绒被芯澳洲冬被全棉春秋单双人加厚保暖,https://item.taobao.com/item.htm?id=566142921342&ns=1&abbucket=10#detail,"15天退换,公益宝贝,",红红红,精品床上用品大卖场,88.00,20人收货,,好评率：99.09%,"76.67%,62.59%,63.14%,",淘宝c店,4心
羊毛被100%澳洲纯羊毛加厚保暖单双人纯棉羊绒被春秋冬包邮,https://item.taobao.com/item.htm?id=577376067041&ns=1&abbucket=10#detail,,红红红,yzhmao,1180.00,20人收货,江苏 南通,好评率：96.27%,"84.92%,81.86%,82.12%,",淘宝c店,2冠
唯有100%羊毛被冬被芯双人加厚保暖单人棉被宿舍学生,https://detail.tmall.com/item.htm?id=575699715543&ns=1&abbucket=10,"天猫,",红红红,唯有家纺旗舰店,199.00,19人收货,江苏 南通,,"84.46%,64.13%,88.15%,",天猫店,
水星家纺 细羊毛被冬被加厚保暖双人被子1.8米床被芯 新臻品,https://detail.tmall.com/item.htm?id=521037552664&ns=1&abbucket=10,"天猫,",黄黄红,水星旗舰店,449.00,19人收货,上海,,"0.00%,0.00%,8.26%,",天猫店,
恒源祥澳洲羊毛被全棉被羊绒被子加厚冬被单双人子母褥芯冬季,https://detail.tmall.com/item.htm?id=557035813880&ns=1&abbucket=10,"天猫,",黄黄红,恒源祥雅乐专卖店,229.00,19人收货,,,"0.00%,0.00%,9.73%,",天猫店,
定制澳毛纯羊毛被加厚被子保暖被芯双人羊绒被单人正品春秋冬褥,https://item.taobao.com/item.htm?id=576187643598&ns=1&abbucket=10#detail,"公益宝贝,",红红红,清河县容舍家纺有限公司,239.00,19人收货,,好评率：100.00%,"100.00%,83.76%,84.00%,",企业店铺,2心
高端大豆纤维冬被棉被芯加厚保暖8斤全棉羊绒质感S+云春秋正品,https://item.taobao.com/item.htm?id=575911966962&ns=1&abbucket=10#detail,"icon-service-jiyoujia,金牌卖家,15天退换,公益宝贝,",红红红,zzqixiu,392.70,19人收货,江苏 南通,好评率：99.54%,"50.12%,59.20%,58.86%,",企业店铺,1冠
水星家纺 蚕丝羊毛二合一被秋冬子母被芯单双人全棉冬被加厚保暖,https://detail.tmall.com/item.htm?id=576010859895&ns=1&abbucket=10,"天猫,",黄黄红,水星旗舰店,1199.00,19人收货,上海,,"0.00%,0.00%,8.26%,",天猫店,
无印良品珍品羊毛被 秋冬被 适合南方 双人被,https://detail.tmall.com/item.htm?id=562931836893&ns=1&abbucket=10,"天猫,",蓝黄红,无印良品旗舰店,769.00,18人收货,北京,,"0.78%,0.00%,10.82%,",天猫店,
100%澳洲纯羊毛被加厚双人羊绒被芯婚庆大红被子保暖冬棉芯,https://item.taobao.com/item.htm?id=563533011230&ns=1&abbucket=10#detail,,红红红,爱琪一被子,58.00,18人收货,江苏 南通,好评率：99.14%,"19.35%,27.25%,37.01%,",淘宝c店,3钻
恒源祥家纺 加厚羊毛被冬被芯单人学生宿舍被子 春秋双人保暖芯,https://detail.tmall.com/item.htm?id=540677214145&ns=1&abbucket=10,"天猫,",黄红红,恒源祥海洋时代专卖店,239.00,18人收货,,,"0.00%,0.84%,8.16%,",天猫店,
雅兰家纺羊毛被1.5米被子加厚保暖不钻绒冬厚被芯1.8米芯,https://detail.tmall.com/item.htm?id=537322713766&ns=1&abbucket=10,"天猫,",黄红红,雅兰家纺旗舰店,199.00,18人收货,广东 惠州,,"0.00%,19.35%,26.41%,",天猫店,
水星家纺珍藏澳洲羊毛春秋被进口保暖双人被芯秋冬加厚被子,https://detail.tmall.com/item.htm?id=540406507957&ns=1&abbucket=10,"天猫,",黄黄红,水星旗舰店,469.00,18人收货,上海,,"0.00%,0.00%,8.26%,",天猫店,
100%澳洲纯羊毛被加厚保暖冬被单人双人春秋被芯驼毛子8/10斤,https://item.taobao.com/item.htm?id=577101961056&ns=1&abbucket=10#detail,"公益宝贝,",红红红,爱家家居生活馆,55.00,18人收货,江苏 南通,好评率：98.77%,"3.23%,6.89%,31.19%,",淘宝c店,1钻
金美润家纺羊毛被纯羊毛冬被加厚保暖冬季被芯单人子春秋特价,https://item.taobao.com/item.htm?id=573937191330&ns=1&abbucket=10#detail,"金牌卖家,",红红红,哎喔家居馆98,168.00,18人收货,江苏 南通,好评率：99.53%,"43.58%,47.02%,52.52%,",淘宝c店,2冠
艾维家纺100%羊毛被冬被全棉加厚保暖冬被被芯 双人棉子,https://detail.tmall.com/item.htm?id=19505810505&ns=1&abbucket=10,"天猫,",红红红,艾维家纺旗舰店,329.00,17人收货,江苏 南通,,"38.63%,48.34%,50.60%,",天猫店,
羊毛被 100%纯羊毛被芯 驼绒被子纯棉冬天被子加厚保暖单人宿舍,https://item.taobao.com/item.htm?id=576400532663&ns=1&abbucket=10#detail,,蓝蓝红,信誉家居家纺店,58.00,17人收货,江苏 南通,好评率：97.37%,"2.45%,0.52%,24.02%,",淘宝c店,4心
南极人新西兰纯羊毛被子冬被加厚保暖棉被双人春秋芯褥空调,https://detail.tmall.com/item.htm?id=577243947738&ns=1&abbucket=10,"天猫,",黄红红,南极人伴伴专卖店,148.00,17人收货,上海,,"0.00%,6.87%,16.89%,",天猫店,
水星家纺 欧洲羊毛二合一被加厚冬天被芯保暖子母被子新冬厚2代,https://detail.tmall.com/item.htm?id=576074831940&ns=1&abbucket=10,"天猫,",黄黄红,水星旗舰店,559.00,17人收货,上海,,"0.00%,0.00%,8.26%,",天猫店,
澳洲羊毛被子冬被加厚双人被子春秋被芯单人纯羊毛太空8斤6棉,https://item.taobao.com/item.htm?id=577473980453&ns=1&abbucket=10#detail,,红红红,dhw8193,128.00,16人收货,上海,好评率：99.36%,"57.26%,69.34%,75.12%,",淘宝c店,5钻
Goldclip澳洲羊毛被春秋被双人被纯羊毛进口秋冬被被芯四季冬,https://detail.tmall.com/item.htm?id=568529232267&ns=1&abbucket=10,"天猫guoji,",红红红,goldclip海外旗舰店,2299.00,16人收货,,,"83.87%,81.39%,66.51%,",天猫店,
多喜爱家纺加厚羊毛被暖羊澳洲羊毛双人被芯全棉保暖秋冬子,https://detail.tmall.com/item.htm?id=40854668586&ns=1&abbucket=10,"天猫,",黄红红,多喜爱旗舰店,449.00,16人收货,上海,,"0.00%,2.79%,17.10%,",天猫店,
100%纯澳洲羊毛冬季保暖床上用品纯棉冬被芯单双人床上用品春秋,https://item.taobao.com/item.htm?id=576559954208&ns=1&abbucket=10#detail,,红红红,诗润姿家纺,358.00,16人收货,江苏 南通,好评率：98.50%,"73.01%,67.53%,68.01%,",淘宝c店,4钻
加厚保暖澳洲纯羊毛被冬被双人棉被秋冬季被子学生单双人芯特价,https://item.taobao.com/item.htm?id=524403631267&ns=1&abbucket=10#detail,"金牌卖家,",红红红,恋梦家纺89,99.00,16人收货,江苏 南通,好评率：99.08%,"46.24%,48.01%,50.09%,",淘宝c店,2冠
正品富安娜蚕丝被子母被二合一羊毛被芯单人双人全棉冬加厚保暖,https://item.taobao.com/item.htm?id=540117518593&ns=1&abbucket=10#detail,"15天退换,公益宝贝,",红红红,直销平价商城,449.00,16人收货,广东 深圳,好评率：99.53%,"44.14%,52.69%,57.08%,",淘宝c店,2冠
百富帝羊毛被2米加厚冬被保暖被子被芯人双人棉被,https://detail.tmall.com/item.htm?id=523051297142&ns=1&abbucket=10,"天猫,天猫直送,",红红红,天猫超市,259.00,16人收货,上海,,"38.85%,31.60%,36.05%,",天猫店,
恒源祥家纺 秋冬季加厚被子纯羊毛被春秋被被芯棉被保暖加厚冬,https://detail.tmall.com/item.htm?id=521098764128&ns=1&abbucket=10,"天猫,",黄红红,恒源祥家纺官方旗舰店,378.00,16人收货,上海,,"0.00%,12.49%,13.70%,",天猫店,
富安娜床上用品羊毛被 保暖被芯被子春秋被芯澳洲羊毛春秋,https://detail.tmall.com/item.htm?id=521510621670&ns=1&abbucket=10,"天猫,",黄黄红,富安娜官方旗舰店,499.00,16人收货,,,"0.00%,0.00%,7.22%,",天猫店,
远梦被子冬被澳洲羊毛暖冬被冬季加厚被芯保暖2米子棉,https://detail.tmall.com/item.htm?id=560695603724&ns=1&abbucket=10,"天猫,",蓝黄黄,远梦家居旗舰店,179.00,15人收货,广东 东莞,,"0.55%,0.00%,0.00%,",天猫店,
博洋家纺 被子冬被双人加厚保暖羊毛纤维二合一子母芯单人子,https://detail.tmall.com/item.htm?id=557456029423&ns=1&abbucket=10,"天猫,",黄红红,博洋家纺旗舰店,559.00,15人收货,浙江 宁波,,"0.00%,18.25%,25.06%,",天猫店,
恒源祥家纺 云丝被负离子羊毛被春秋被褥被芯加厚保暖冬季子1.8,https://detail.tmall.com/item.htm?id=16096364743&ns=1&abbucket=10,"天猫,",黄红红,合肥梦之家家居专营店,149.00,15人收货,,,"0.00%,17.34%,11.28%,",天猫店,
致臻水星家纺100%加厚纯羊毛被2018冬季羊毛被礼品春秋冬,https://item.taobao.com/item.htm?id=576593461524&ns=1&abbucket=10#detail,,红红红,和睦家纺2020,58.00,15人收货,江苏 南通,好评率：92.85%,"53.34%,100.00%,100.00%,",淘宝c店,3钻
花花公子澳洲100%羊毛被冬被加厚春秋被芯冬季被子双人6斤棉8斤,https://detail.tmall.com/item.htm?id=558324052120&ns=1&abbucket=10,"天猫,",蓝蓝蓝,西尚屋语官方旗舰店,228.00,15人收货,上海,,"0.75%,0.71%,0.61%,",天猫店,
富安娜澳洲羊毛被春秋被羊毛羊绒双人被芯驼毛被暖芯芯冬清仓,https://item.taobao.com/item.htm?id=565632919931&ns=1&abbucket=10#detail,"金牌卖家,公益宝贝,",蓝红红,富安娜艺术家纺直营店,339.00,14人收货,,好评率：99.03%,"0.59%,8.20%,7.99%,",企业店铺,1冠
GOLDCLIP澳洲羊毛被双人被纯羊毛澳大利亚秋冬被懒人进口冬,https://detail.tmall.com/item.htm?id=568530424450&ns=1&abbucket=10,"天猫guoji,",红红红,goldclip海外旗舰店,2599.00,14人收货,,,"83.87%,81.39%,66.51%,",天猫店,
Iloves澳洲羊毛被 加厚保暖被子棉被芯 冬被双人被褥单人学生宿舍,https://detail.tmall.com/item.htm?id=574845572099&ns=1&abbucket=10,"天猫,",黄红红,iloves家纺旗舰店,99.00,14人收货,江苏 南通,,"0.00%,9.38%,13.63%,",天猫店,
Minijumbuk澳洲进口高级羊毛被子3层双人被芯春秋四季空调冬,https://detail.tmall.com/item.htm?id=535944391774&ns=1&abbucket=10,"天猫guoji,",红红红,minijumbuk海外旗舰店,1499.00,14人收货,,,"61.93%,70.71%,68.37%,",天猫店,
羊毛被 冬被100%纯羊绒被加厚春秋被宿舍单人保暖 学生驼毛子,https://item.taobao.com/item.htm?id=576841837763&ns=1&abbucket=10#detail,,红红红,他她爱家居用品,76.00,14人收货,江苏 南通,好评率：100.00%,"1.37%,28.83%,29.87%,",淘宝c店,4心
羊毛被100%纯羊毛驼毛被加厚保暖冬被8斤10斤春秋羊绒子母,https://item.taobao.com/item.htm?id=575827272268&ns=1&abbucket=10#detail,,蓝蓝黄,朵尚纺织品,49.00,14人收货,江苏 南通,好评率：99.34%,"1.50%,1.14%,0.00%,",企业店铺,4钻
日本NITORI尼达利 羊毛被子被芯 保暖单双人羊绒春秋被被芯子,https://detail.tmall.com/item.htm?id=525028073663&ns=1&abbucket=10,"天猫,",红红红,nitori官方旗舰店,249.00,14人收货,江苏 苏州,,"11.56%,28.75%,19.70%,",天猫店,
唯有羊绒被加厚保暖双人澳洲羊毛被单人全棉被芯冬季,https://detail.tmall.com/item.htm?id=549311382032&ns=1&abbucket=10,"天猫,",红红红,唯有家纺旗舰店,1088.00,14人收货,江苏 南通,,"84.46%,64.13%,88.15%,",天猫店,
富安娜家纺羊毛被单人加厚被芯双人保暖被子被褥爱丽丝冬厚,https://detail.tmall.com/item.htm?id=558220214900&ns=1&abbucket=10,"天猫,",黄黄红,富安娜官方旗舰店,499.00,14人收货,,,"0.00%,0.00%,7.22%,",天猫店,
小绵羊磨毛100%新西兰纯羊毛冬被冬天被子被芯单双人床褥加厚保暖,https://detail.tmall.com/item.htm?id=537873962392&ns=1&abbucket=10,"天猫,",黄红红,小绵羊床品旗舰店,389.00,14人收货,上海,,"0.00%,14.49%,15.49%,",天猫店,
10斤加厚纯羊毛被100%澳洲羊毛被子保暖冬被单人棉双人春秋芯,https://detail.tmall.com/item.htm?id=572964135220&ns=1&abbucket=10,"天猫,公益宝贝,",红红红,诗润姿家纺旗舰店,398.00,14人收货,,,"80.82%,66.28%,66.56%,",天猫店,
堂皇家纺全棉加厚保暖冬天被芯被子双人春秋被冬被倍澳羊毛,https://detail.tmall.com/item.htm?id=574764909228&ns=1&abbucket=10,"天猫,",红红红,堂皇旗舰店,299.00,14人收货,江苏 镇江,,"34.99%,44.03%,43.43%,",天猫店,
唯有澳洲羊毛被加厚保暖单人冬被羊绒被芯学生全棉双人,https://detail.tmall.com/item.htm?id=35909876549&ns=1&abbucket=10,"天猫,",红红红,唯有家纺旗舰店,798.00,13人收货,江苏 南通,,"84.46%,64.13%,88.15%,",天猫店,
正品恒源祥羊毛被100%纯羊毛冬被加厚保暖被芯单双人春秋学生子,https://item.taobao.com/item.htm?id=577998974635&ns=1&abbucket=10#detail,,蓝蓝蓝,程娅明99,65.00,13人收货,上海,好评率：95.94%,"5.80%,8.62%,6.39%,",淘宝c店,1钻
Lehome/乐加羊毛被冬被加厚秋冬被子保暖冬天棉被冬季单双人芯,https://detail.tmall.com/item.htm?id=560278326476&ns=1&abbucket=10,"天猫,",红红红,lehome旗舰店,289.00,13人收货,浙江 宁波,,"14.92%,38.70%,41.28%,",天猫店,
罗莱家纺双人 加厚被心被子被芯冬被保暖1.8米床冬季,https://detail.tmall.com/item.htm?id=558763428266&ns=1&abbucket=10,"天猫,",红红红,罗莱官方旗舰店,699.00,13人收货,江苏 南通,,"3.37%,8.65%,13.93%,",天猫店,
恒源祥100%纯羊毛被加厚保暖被芯春秋被子冬被双人单人棉褥子,https://detail.tmall.com/item.htm?id=536805414891&ns=1&abbucket=10,"天猫,",黄红红,恒源祥恒瑞祥泰专卖店,246.00,12人收货,,,"0.00%,14.54%,23.94%,",天猫店,
小绵羊澳洲100%纯羊毛被被春秋冬季被子被芯加厚保暖单双人羊绒,https://detail.tmall.com/item.htm?id=575275931224&ns=1&abbucket=10,"天猫,",蓝蓝蓝,小绵羊锐洁专卖店,199.00,12人收货,上海,,"1.69%,1.25%,1.34%,",天猫店,
博洋家纺新西兰进口羊毛被子礼品冬被冬季8斤加厚保暖纯,https://detail.tmall.com/item.htm?id=564100997349&ns=1&abbucket=10,"天猫,",黄红红,博洋家纺旗舰店,1099.00,12人收货,浙江 宁波,,"0.00%,18.25%,25.06%,",天猫店,
梦洁家纺羊毛被春秋被子冬被加厚单人双人冬天保暖芯暖馨厚,https://detail.tmall.com/item.htm?id=575544345692&ns=1&abbucket=10,"天猫,",红红红,梦洁旗舰店,259.00,12人收货,湖南 长沙,,"3.21%,26.95%,33.87%,",天猫店,
恒源祥家纺 羊毛被芯加厚保暖冬被单人被子被芯双人春秋冬季,https://detail.tmall.com/item.htm?id=38564247394&ns=1&abbucket=10,"天猫,",黄红红,恒源祥家纺官方旗舰店,278.00,12人收货,上海,,"0.00%,12.49%,13.70%,",天猫店,
羊毛被100%澳洲纯羊毛被子单人双人春秋被芯加厚保暖冬学生褥子,https://item.taobao.com/item.htm?id=575984125288&ns=1&abbucket=10#detail,,红红红,郭飞飞2377,99.00,12人收货,江苏 南通,好评率：97.63%,"55.23%,58.39%,66.23%,",淘宝c店,3钻
水星家纺羊毛被芯冬季全棉被子冬被加厚保暖单双人学生宿舍褥,https://detail.tmall.com/item.htm?id=528337601789&ns=1&abbucket=10,"天猫,",黄黄红,水星家纺品牌专卖店,379.00,12人收货,上海,,"0.00%,0.00%,8.03%,",天猫店,
恒源祥家纺羊毛被春秋被子秋冬被单双人冬季保暖加厚芯床上用品,https://detail.tmall.com/item.htm?id=41555483319&ns=1&abbucket=10,"天猫,",黄红红,恒源祥家纺官方旗舰店,298.00,12人收货,上海,,"0.00%,12.49%,13.70%,",天猫店,
恒源祥新西兰羊毛被加厚保暖冬被100%羊毛春秋被子芯双人空调,https://detail.tmall.com/item.htm?id=559686001993&ns=1&abbucket=10,"天猫,",黄红红,恒源祥海洋时代专卖店,635.00,12人收货,,,"0.00%,0.84%,8.16%,",天猫店,
澳洲冬季羊毛被8斤冬被加厚保暖被子被芯空调被单人双人褥春秋,https://detail.tmall.com/item.htm?id=43053908495&ns=1&abbucket=10,"天猫,",黄红红,妮菲家纺专营店,94.00,12人收货,江苏 南通,,"0.00%,23.59%,27.55%,",天猫店,
远梦澳洲羊毛双层芯锁温被单双人加厚保暖柔软冬被芯冬季子,https://item.taobao.com/item.htm?id=558050486245&ns=1&abbucket=10#detail,"icon-service-jiyoujia,金牌卖家,15天退换,",红红红,red_digital,239.00,12人收货,广东 东莞,好评率：99.50%,"10.80%,13.75%,4.39%,",淘宝c店,2冠
水星家纺 澳洲100%羊毛抗菌冬被 加厚保暖冬天被子被芯典雅,https://detail.tmall.com/item.htm?id=575861033664&ns=1&abbucket=10,"天猫,",黄黄红,水星旗舰店,499.00,12人收货,上海,,"0.00%,0.00%,8.26%,",天猫店,
【STACEY】100%纯纯纯羊毛被子被芯厚被羊毛冬被 不参假 现货,https://item.taobao.com/item.htm?id=559060244004&ns=1&abbucket=10#detail,"icon-service-jiyoujia,金牌卖家,15天退换,",红红红,stacey的家,258.00,12人收货,北京,好评率：99.73%,"35.71%,39.34%,32.35%,",淘宝c店,1冠
富安娜家纺馨而乐澳洲进口羊毛保暖加厚冬天被芯被子双人1.8床品,https://detail.tmall.com/item.htm?id=539611513481&ns=1&abbucket=10,"天猫,",黄黄红,富安娜官方旗舰店,499.00,12人收货,,,"0.00%,0.00%,7.22%,",天猫店,
小绵羊澳洲羊毛被100%纯羊毛被子单双人全棉被芯加厚保暖春秋冬,https://detail.tmall.com/item.htm?id=575175866185&ns=1&abbucket=10,"天猫,",蓝蓝蓝,小绵羊锐洁专卖店,319.00,11人收货,上海,,"1.69%,1.25%,1.34%,",天猫店,
加厚保暖羊羔绒冬被太空被秋冬单双人羊毛被子学生棉絮芯棉褥,https://item.taobao.com/item.htm?id=525974819256&ns=1&abbucket=10#detail,,黄蓝红,遇见沙沙,49.00,11人收货,北京,好评率：98.30%,"0.00%,0.92%,0.90%,",淘宝c店,4钻
进口纯羊毛被100%纯羊毛 冬被芯加厚保暖双人单人被褥子8/10斤,https://item.taobao.com/item.htm?id=576582160756&ns=1&abbucket=10#detail,"15天退换,",红红蓝,中国时尚领跑者,268.00,11人收货,江苏 南通,好评率：99.54%,"100.00%,100.00%,2.24%,",淘宝c店,5心
恒源祥羊毛被100%纯羊毛春秋被冬被单双人被6/8斤保暖加厚褥,https://item.taobao.com/item.htm?id=576233700863&ns=1&abbucket=10#detail,"15天退换,公益宝贝,",红红红,wangxiruo105,88.00,11人收货,江苏 南通,好评率：100.00%,"100.00%,100.00%,44.74%,",淘宝c店,1钻
MiniJumbuk澳洲进口优质高端羊毛被子4层秋冬被芯加厚保暖透气,https://detail.tmall.com/item.htm?id=536046049378&ns=1&abbucket=10,"天猫guoji,",红红红,minijumbuk海外旗舰店,1999.00,11人收货,,,"61.93%,70.71%,68.37%,",天猫店,
羊羔绒冬被双人加厚被芯学生单人双面羊毛绒纤维棉冬天保暖子,https://item.taobao.com/item.htm?id=569511142167&ns=1&abbucket=10#detail,,蓝蓝蓝,我是小行家啦啦啦111,39.00,11人收货,,好评率：98.23%,"4.51%,4.40%,3.31%,",淘宝c店,5钻
澳洲冬季保暖正品羊毛被加厚羊毛冬被单双人冬天被子春秋棉芯,https://item.taobao.com/item.htm?id=558271381547&ns=1&abbucket=10#detail,"金牌卖家,",红红红,相爱壹被子,116.00,11人收货,江苏 南通,好评率：97.84%,"17.37%,27.71%,25.27%,",淘宝c店,3冠
雅兰家纺100%纯羊毛被冬被全棉1.8米床加厚保暖被子1.5m床芯,https://detail.tmall.com/item.htm?id=576737792942&ns=1&abbucket=10,"天猫,",黄红红,雅兰家纺旗舰店,469.00,11人收货,广东 惠州,,"0.00%,19.35%,26.41%,",天猫店,
富安娜馨而乐澳洲春秋混合羊毛被1.8m双人保暖被芯加厚子冬,https://detail.tmall.com/item.htm?id=539887115446&ns=1&abbucket=10,"天猫,",黄红红,富安娜艺术生活馆,598.00,11人收货,,,"0.00%,0.72%,7.00%,",天猫店,
水星家纺羊毛柔丝二合一被子加厚子母被芯冬季保暖羊绒被子,https://detail.tmall.com/item.htm?id=36155436093&ns=1&abbucket=10,"天猫,",黄黄红,水星家纺品牌专卖店,499.00,11人收货,上海,,"0.00%,0.00%,8.03%,",天猫店,
刚刚家9.15 柔软羊毛被 200X230cm 条形码76010289 包邮,https://item.taobao.com/item.htm?id=577238656483&ns=1&abbucket=10#detail,"金牌卖家,",红红红,刚刚的小店,99.00,11人收货,江苏 苏州,好评率：99.91%,"51.47%,49.86%,46.57%,",淘宝c店,2冠
恒源祥羊毛被100%纯澳洲羊毛纯棉加厚保暖羊绒被子单双人春秋冬,https://item.taobao.com/item.htm?id=577231103336&ns=1&abbucket=10#detail,"公益宝贝,",红红红,南通国际家纺城一号店,165.60,11人收货,,好评率：100.00%,"100.00%,100.00%,100.00%,",淘宝c店,1钻
红豆家纺 羊毛被纯羊毛冬被加厚保暖单人被子双人春秋芯正品,https://detail.tmall.com/item.htm?id=557419016589&ns=1&abbucket=10,"天猫,",蓝黄蓝,红豆家纺官方旗舰店,219.00,11人收货,,,"0.83%,0.00%,0.61%,",天猫店,
正品100%纯羊毛被春秋冬被芯加厚保暖羊毛被子单人双人子母,https://item.taobao.com/item.htm?id=564851948556&ns=1&abbucket=10#detail,"金牌卖家,15天退换,",红红红,如意家纺1989,68.00,11人收货,上海,好评率：99.18%,"33.25%,43.05%,49.97%,",淘宝c店,3钻
水星家纺羊毛被抗菌澳洲羊毛被纯羊毛冬被加厚保暖冬季进口芯,https://detail.tmall.com/item.htm?id=574476476469&ns=1&abbucket=10,"天猫,天猫直送,",红红红,天猫超市,1019.00,11人收货,上海,,"38.85%,31.60%,36.05%,",天猫店,
10斤羊羔毛被子仿羊绒被芯冬季加厚加大棉被单双人保暖羊羔绒冬,https://item.taobao.com/item.htm?id=575284888120&ns=1&abbucket=10#detail,,红红红,石兴华2014,109.00,11人收货,江苏 南通,好评率：96.93%,"5.52%,4.44%,3.30%,",淘宝c店,4钻
罗莱家纺羊毛被纯羊毛冬被加厚保暖冬季被芯1.8米床单人双人子,https://detail.tmall.com/item.htm?id=576381181646&ns=1&abbucket=10,"天猫,",红红红,罗莱官方旗舰店,999.00,11人收货,江苏 南通,,"3.37%,8.65%,13.93%,",天猫店,
无印良品珍品羊毛被 秋冬被 适合北方双人被,https://detail.tmall.com/item.htm?id=563175871106&ns=1&abbucket=10,"天猫,",蓝黄红,无印良品旗舰店,559.00,11人收货,北京,,"0.78%,0.00%,10.82%,",天猫店,
羊毛被被子100%纯羊毛单双人冬被春秋被加厚保暖冬季学生宿舍芯,https://item.taobao.com/item.htm?id=577957548017&ns=1&abbucket=10#detail,"公益宝贝,",红红红,恋爱家纺88800,80.00,11人收货,江苏 南通,好评率：99.31%,"100.00%,100.00%,100.00%,",企业店铺,4钻
恒源祥羊毛被冬被芯加厚保暖100%澳洲纯羊毛被子双人纯羊绒春秋,https://item.taobao.com/item.htm?id=576991908460&ns=1&abbucket=10#detail,,红红红,黄金屋家纺,123.00,10人收货,上海,好评率：99.70%,"100.00%,100.00%,100.00%,",淘宝c店,1钻
富安娜蚕丝羊毛二合一被子纯棉全棉面料春秋被冬厚芯子母,https://detail.tmall.com/item.htm?id=521172851112&ns=1&abbucket=10,"天猫,",黄红红,富安娜艺术生活馆,999.00,10人收货,,,"0.00%,0.72%,7.00%,",天猫店,
恒发家纺 雅逸纯棉羊毛被芯被子冬被学生加厚保暖单人双人春秋,https://item.taobao.com/item.htm?id=40460231362&ns=1&abbucket=10#detail,"15天退换,",红红红,晓杰静娜,189.00,10人收货,广东 深圳,好评率：98.65%,"28.09%,26.23%,27.31%,",淘宝c店,5钻
炫耀水星家纺100%澳洲进口羊毛被全棉加厚冬被子保暖双人10斤单人,https://item.taobao.com/item.htm?id=577349409911&ns=1&abbucket=10#detail,"15天退换,公益宝贝,",红红红,鑫鑫乐家纺,99.00,10人收货,江苏 南通,好评率：99.57%,"31.15%,55.72%,61.17%,",淘宝c店,3钻
水星家纺澳洲羊毛被芯单双人保暖冬被子加厚羊毛被芯床品QW1243,https://detail.tmall.com/item.htm?id=539965755475&ns=1&abbucket=10,"天猫,",黄黄红,水星家纺品牌专卖店,559.00,10人收货,上海,,"0.00%,0.00%,8.03%,",天猫店,
